Solver,Puzzle Set,Puzzle Number,Time (s),Clauses
ConstraintPathSolver,5x5,121,137920083,0
ConstraintPathSolver,5x5,122,155343125,0
ConstraintPathSolver,5x5,123,161988750,0
ConstraintPathSolver,5x5,124,184745334,0
ConstraintPathSolver,5x5,125,129978250,0
ConstraintPathSolver,5x5,126,170976083,0
ConstraintPathSolver,5x5,127,173154708,0
ConstraintPathSolver,5x5,128,145789125,0
ConstraintPathSolver,5x5,129,145781875,0
ConstraintPathSolver,5x5,130,139086834,0
ConstraintPathSolver,5x5,131,133674875,0
ConstraintPathSolver,5x5,132,145992375,0
ConstraintPathSolver,5x5,133,207987125,0
ConstraintPathSolver,5x5,134,249172667,0
ConstraintPathSolver,5x5,135,137482541,0
ConstraintPathSolver,5x5,136,145845459,0
ConstraintPathSolver,5x5,137,156337417,0
ConstraintPathSolver,5x5,138,137493166,0
ConstraintPathSolver,5x5,139,156272084,0
ConstraintPathSolver,5x5,140,173100500,0
ConstraintPathSolver,5x5,141,132126750,0
ConstraintPathSolver,5x5,142,129251584,0
ConstraintPathSolver,5x5,143,154903959,0
ConstraintPathSolver,5x5,144,153728875,0
ConstraintPathSolver,5x5,145,155283500,0
ConstraintPathSolver,5x5,146,131395917,0
ConstraintPathSolver,5x5,147,187058708,0
ConstraintPathSolver,5x5,148,155417375,0
ConstraintPathSolver,5x5,149,167957583,0
ConstraintPathSolver,5x5,150,169716167,0
ConstraintPathSolver,5x5,151,137555792,0
ConstraintPathSolver,5x5,152,153778959,0
ConstraintPathSolver,5x5,153,124595209,0
ConstraintPathSolver,5x5,154,136744375,0
ConstraintPathSolver,5x5,155,129460875,0
ConstraintPathSolver,5x5,156,136342000,0
ConstraintPathSolver,5x5,157,147748917,0
ConstraintPathSolver,5x5,158,208746125,0
ConstraintPathSolver,5x5,159,172763166,0
ConstraintPathSolver,5x5,160,135859458,0
ConstraintPathSolver,5x5,161,155107958,0
ConstraintPathSolver,5x5,162,142449250,0
ConstraintPathSolver,5x5,163,169730792,0
ConstraintPathSolver,5x5,164,182178625,0
ConstraintPathSolver,5x5,165,131992042,0
ConstraintPathSolver,5x5,166,137182500,0
ConstraintPathSolver,5x5,167,170620666,0
ConstraintPathSolver,5x5,168,134368291,0
ConstraintPathSolver,5x5,169,173750875,0
ConstraintPathSolver,5x5,170,204928875,0
ConstraintPathSolver,5x5,171,149354041,0
ConstraintPathSolver,5x5,172,134346250,0
ConstraintPathSolver,5x5,173,155023541,0
ConstraintPathSolver,5x5,174,138427000,0
ConstraintPathSolver,5x5,175,152251042,0
ConstraintPathSolver,5x5,176,152440459,0
ConstraintPathSolver,5x5,177,155131292,0
ConstraintPathSolver,5x5,178,169879375,0
ConstraintPathSolver,5x5,179,177274083,0
ConstraintPathSolver,5x5,180,155699000,0
ConstraintPathSolver,5x5,181,167315416,0
ConstraintPathSolver,5x5,182,349773417,0
ConstraintPathSolver,5x5,183,230319208,0
ConstraintPathSolver,5x5,184,165747125,0
ConstraintPathSolver,5x5,185,145319375,0
ConstraintPathSolver,5x5,186,154467209,0
ConstraintPathSolver,5x5,187,145901250,0
ConstraintPathSolver,5x5,188,171262750,0
ConstraintPathSolver,5x5,189,161278750,0
ConstraintPathSolver,5x5,190,153116125,0
ConstraintPathSolver,5x5,191,157268334,0
ConstraintPathSolver,5x5,192,144591334,0
ConstraintPathSolver,5x5,193,176279458,0
ConstraintPathSolver,5x5,194,147826417,0
ConstraintPathSolver,5x5,195,146287458,0
ConstraintPathSolver,5x5,196,168374958,0
ConstraintPathSolver,5x5,197,138118917,0
ConstraintPathSolver,5x5,198,136889959,0
ConstraintPathSolver,5x5,199,143140416,0
ConstraintPathSolver,5x5,200,146456584,0
ConstraintPathSolver,6x6,1,578450042,0
ConstraintPathSolver,6x6,2,551729417,0
ConstraintPathSolver,6x6,3,627508084,0
ConstraintPathSolver,6x6,4,418168542,0
ConstraintPathSolver,6x6,5,575901792,0
ConstraintPathSolver,6x6,6,485541833,0
ConstraintPathSolver,6x6,7,467892791,0
ConstraintPathSolver,6x6,8,527807750,0
ConstraintPathSolver,6x6,9,523504667,0
ConstraintPathSolver,6x6,10,545746875,0
ConstraintPathSolver,6x6,11,483700458,0
ConstraintPathSolver,6x6,12,805376542,0
ConstraintPathSolver,6x6,13,993073417,0
ConstraintPathSolver,6x6,14,522901292,0
ConstraintPathSolver,6x6,15,715807709,0
ConstraintPathSolver,6x6,16,703234916,0
ConstraintPathSolver,6x6,17,549890916,0
ConstraintPathSolver,6x6,18,724737625,0
ConstraintPathSolver,6x6,19,721871166,0
ConstraintPathSolver,6x6,20,453066750,0
ConstraintPathSolver,6x6,21,429421084,0
ConstraintPathSolver,6x6,22,498667583,0
ConstraintPathSolver,6x6,23,530154875,0
ConstraintPathSolver,6x6,24,590752916,0
ConstraintPathSolver,6x6,25,512668542,0
ConstraintPathSolver,6x6,26,423362334,0
ConstraintPathSolver,6x6,27,461051542,0
ConstraintPathSolver,6x6,28,463156375,0
ConstraintPathSolver,6x6,29,551483500,0
ConstraintPathSolver,6x6,30,768863250,0
ConstraintPathSolver,6x6,31,523432917,0
ConstraintPathSolver,6x6,32,527261958,0
ConstraintPathSolver,6x6,33,530036042,0
ConstraintPathSolver,6x6,34,522223791,0
ConstraintPathSolver,6x6,35,516091167,0
ConstraintPathSolver,6x6,36,687180833,0
ConstraintPathSolver,6x6,37,788920708,0
ConstraintPathSolver,6x6,38,506040750,0
ConstraintPathSolver,6x6,39,535767375,0
ConstraintPathSolver,6x6,40,507614792,0
ConstraintPathSolver,6x6,41,427716333,0
ConstraintPathSolver,6x6,42,490635917,0
ConstraintPathSolver,6x6,43,548223292,0
ConstraintPathSolver,6x6,44,387302500,0
ConstraintPathSolver,6x6,45,582976709,0
ConstraintPathSolver,6x6,46,828506167,0
ConstraintPathSolver,6x6,47,650929541,0
ConstraintPathSolver,6x6,48,759543791,0
ConstraintPathSolver,6x6,49,574209084,0
ConstraintPathSolver,6x6,50,491245208,0
ConstraintPathSolver,6x6,51,627032000,0
ConstraintPathSolver,6x6,52,455010292,0
ConstraintPathSolver,6x6,53,585270041,0
ConstraintPathSolver,6x6,54,485755750,0
ConstraintPathSolver,6x6,55,407571125,0
ConstraintPathSolver,6x6,56,426715500,0
ConstraintPathSolver,6x6,57,437892625,0
ConstraintPathSolver,6x6,58,829983875,0
ConstraintPathSolver,6x6,59,470649709,0
ConstraintPathSolver,6x6,60,437714083,0
ConstraintPathSolver,6x6,61,615560458,0
ConstraintPathSolver,6x6,62,484621292,0
ConstraintPathSolver,6x6,63,523641541,0
ConstraintPathSolver,6x6,64,498633917,0
ConstraintPathSolver,6x6,65,548732042,0
ConstraintPathSolver,6x6,66,497338084,0
ConstraintPathSolver,6x6,67,492082958,0
ConstraintPathSolver,6x6,68,407439375,0
ConstraintPathSolver,6x6,69,472433333,0
ConstraintPathSolver,6x6,70,917861542,0
ConstraintPathSolver,6x6,71,530384792,0
ConstraintPathSolver,6x6,72,409250334,0
ConstraintPathSolver,6x6,73,666302709,0
ConstraintPathSolver,6x6,74,754265375,0
ConstraintPathSolver,6x6,75,597372958,0
ConstraintPathSolver,6x6,76,879677250,0
ConstraintPathSolver,6x6,77,641321125,0
ConstraintPathSolver,6x6,78,550457417,0
ConstraintPathSolver,6x6,79,460457500,0
ConstraintPathSolver,6x6,80,539784708,0
ConstraintPathSolver,6x6,81,436522416,0
ConstraintPathSolver,6x6,82,896046667,0
ConstraintPathSolver,6x6,83,451098209,0
ConstraintPathSolver,6x6,84,650026041,0
ConstraintPathSolver,6x6,85,617466375,0
ConstraintPathSolver,6x6,86,751726125,0
ConstraintPathSolver,6x6,87,763014416,0
ConstraintPathSolver,6x6,88,599213917,0
ConstraintPathSolver,6x6,89,667070750,0
ConstraintPathSolver,6x6,90,725550542,0
ConstraintPathSolver,6x6,91,754831042,0
ConstraintPathSolver,6x6,92,1702790334,0
ConstraintPathSolver,6x6,93,752773041,0
ConstraintPathSolver,6x6,94,577368625,0
ConstraintPathSolver,6x6,95,654327333,0
ConstraintPathSolver,6x6,96,502152750,0
ConstraintPathSolver,6x6,97,612225167,0
ConstraintPathSolver,6x6,98,472383000,0
ConstraintPathSolver,6x6,99,598112500,0
ConstraintPathSolver,6x6,100,1162144750,0
ConstraintPathSolver,6x6,101,833508791,0
ConstraintPathSolver,6x6,102,457100041,0
ConstraintPathSolver,6x6,103,726918625,0
ConstraintPathSolver,6x6,104,517381708,0
ConstraintPathSolver,6x6,105,582884500,0
ConstraintPathSolver,6x6,106,557725833,0
ConstraintPathSolver,6x6,107,2334017542,0
ConstraintPathSolver,6x6,108,837928083,0
ConstraintPathSolver,6x6,109,3981363333,0
ConstraintPathSolver,6x6,110,2493393375,0
ConstraintPathSolver,6x6,111,599327292,0
ConstraintPathSolver,6x6,112,449572292,0
ConstraintPathSolver,6x6,113,627224542,0
ConstraintPathSolver,6x6,114,1083486000,0
ConstraintPathSolver,6x6,115,3556819208,0
ConstraintPathSolver,6x6,116,1105059709,0
ConstraintPathSolver,6x6,117,767688792,0
